From,To,Label,Type,Tags,Description,Coaching Year Retired,Coaching Year Started,Current Position,First,Last,Playing Year Retired,Playing Year Started College,Wikipedia info,closeness,metrics::last,year retired
Bo Schembechler,Doyt Perry,,,,,,,,,,,,,,,
Bo Schembechler,Ron Vanderlinden,,,,,,,,,,,,,,,
Sam Sanders,Jim Ward,,,,,,,,,,,,,,,
Todd Bowles,Bill Parcells,,,,,,,,,,,,,,,
Andy Reid,Sean McDermott,,,,,,,,,,,,,,,
Dick Tomey,Ron McBride,,,,,,,,,,,,,,,
Don James,Nick Saban,,,,,,,,,,,,,,,
Manny Diaz,Bobby Bowden,,,,,,,,,,,,,,,
Les Miles,Bo Pelini,,,,,,,,,,,,,,,
Frank W. Thomas,Bear Bryant,,,,,,,,,,,,,,,
Steve Spurrier,Charlie Strong,,,,,,,,,,,,,,,
Sean Payton,John Bonamego,,,,,,,,,,,,,,,
Bo Schembechler,Woody Hayes,,Head coach-assistant coach,,,,,,,,,,,,,
Mack Brown,Larry Jones,,,,,,,,,,,,,,,
Buddy Ryan,Jim Schwartz,,,,,,,,,,,,,,,
Anthony Lynn,Rex Ryan,,,,,,,,,,,,,,,
Woody Hayes,John McVay,,,,,,,,,,,,,,,
Chris Petersen,Jonathan Smith,,,,,,,,,,,,,,,
Tony Dungy,Mike Tomlin,,,,,,,,,,,,,,,
Monte Kiffin,Bud Grant,,,,,,,,,,,,,,,
Bill Parcells,Romeo Crennel,,,,,,,,,,,,,,,
Larry Smith,Moe Ankney,,,,,,,,,,,,,,,
Bo Schembechler,Bill McCartney,,Head coach-assistant coach,,,,,,,,,,,,,
Jeff Fisher,Dave McGinnis,,,,,,,,,,,,,,,
Doug Graber,Butch Jones,,,,,,,,,,,,,,,
Buddy Ryan,Rex Ryan,,,,,,,,,,,,,,,
Joe Moorhead,Josh Gattis,,,,,,,,,,,,,,,
Marvin Lewis,Brian Billick,,,,,,,,,,,,,,,
George Seifert,Mike Holmgren,,,,,,,,,,,,,,,
Monte Kiffin,Mike Tomlin,,,,,,,,,,,,,,,
John Pont,Dick Tomey,,,,,,,,,,,,,,,
Bill Callahan,Marc Trestman,,,,,,,,,,,,,,,
Sam Sanders,Dave Clawson,,,,,,,,,,,,,,,
Kliff Kingsbury,Bill Belichick,,,,,,,,,,,,,,,
John Mackovic,Tom Landry,,,,,,,,,,,,,,,
Earle Bruce,Urban Meyer,,,,,,,,,,,,,,,
"Marshall ""Ma"" Newell","Glenn ""Pop"" Warner",,,,,,,,,,,,,,,
Bo Schembechler,Sid Gillman,,,,,,,,,,,,,,,
Glen Mason,Mark Snyder,,,,,,,,,,,,,,,
Freddie Kitchens,Hue Jackson,,,,,,,,,,,,,,,
Bruce Arians,Jim E Mora,,,,,,,,,,,,,,,
Jeff Fisher,Gregg Williams,,,,,,,,,,,,,,,
Josh McDaniels,Nick Saban,,,,,,,,,,,,,,,
Al Davis,Jim Harbaugh,,,,,,,,,,,,,,,
Les Miles,Larry Porter,,,,,,,,,,,,,,,
Andy Reid,Ron Rivera,,,,,,,,,,,,,,,
Frank Reich,Ken Whisenhunt,,,,,,,,,,,,,,,
Mike Holmgren,Ray Rhodes,,,,,,,,,,,,,,,
Hayden Fry,Bob Stoops,,,,,,,,,,,,,,,
Greg Schiano,P. J. Fleck,,,,,,,,,,,,,,,
Len Casanova,Buck Shaw,,,,,,,,,,,,,,,
Jack Pardee,Jeff Fisher,,,,,,,,,,,,,,,
Joe Novak,Gary Moeller,,,,,,,,,,,,,,,
Jim Harbaugh,Jim McElwain,,,,,,,,,,,,,,,
Dennis Green,Jim Fassel,,,,,,,,,,,,,,,
Bruce Arians,Jimmy Sharpe,,,,,,,,,,,,,,,
Ray Perkins,Bill Belichick,,,,,,,,,,,,,,,
Jim Fassel,John Fox,,,,,,,,,,,,,,,
Bo Schembechler,Tom Reed,,,,,,,,,,,,,,,
Marty Schottenheimer,Cam Cameron,,,,,,,,,,,,,,,
Scott Linehan,John L. Smith,,,,,,,,,,,,,,,
Pete Carroll,Bud Grant,,,,,,,,,,,,,,,
Jon Gruden,Mike Holmgren,,,,,,,,,,,,,,,
Pat Hill,Jeff Tedford,,,,,,,,,,,,,,,
Pete Carroll,Earle Bruce,,,,,,,,,,,,,,,
Mike Leach,Seth Littrell,,,,,,,,,,,,,,,
Mike Mularkey,Ken Whisenhunt,,,,,,,,,,,,,,,
Bill Parcells,Al Groh,,,,,,,,,,,,,,,
Jon Gruden,David Shaw,,,,,,,,,,,,,,,
Sid Gillman,Bum Phillips,,,,,,,,,,,,,,,
Mike Locksley,Josh Gattis,,,,,,,,,,,,,,,
Norv Turner,Mike Martz,,,,,,,,,,,,,,,
Doug Marrone,Sean Payton,,,,,,,,,,,,,,,
Ron Rivera,Lovie Smith,,,,,,,,,,,,,,,
Joe Novak,Dick Crum,,,,,,,,,,,,,,,
Brady Hoke,Kurt Mallory,,,,,,,,,,,,,,,
John Robinson,Sid Gillman,,,,,,,,,,,,,,,
Dan Quinn,Pete Carroll,,,,,,,,,,,,,,,
Jon Gruden,Bill Callahan,,,,,,,,,,,,,,,
Frank Reich,Doug Pederson,,,,,,,,,,,,,,,
Marv Levy,Bill Walsh,,,,,,,,,,,,,,,
